['2020-01-25', 'government', 14]
['2020-01-25', 'including', 2]
['2020-01-25', 'minister', 6]
['2020-01-25', 'public', 16]
['2020-01-25', 'ministry', 6]
['2020-01-25', 'world', 10]
['2020-01-25', 'symptoms', 23]
['2020-01-25', 'hospital', 24]
['2020-01-25', 'number', 11]
['2020-01-25', 'being', 19]
['2020-01-25', 'medical', 15]
['2020-01-25', 'patients', 19]
['2020-01-25', 'tested', 14]
['2020-01-25', 'markets', 2]
['2020-01-25', 'novel', 13]
['2020-01-25', 'central', 8]
['2020-01-25', 'deaths', 7]
['2020-01-25', 'reported', 20]
['2020-01-25', 'country', 11]
['2020-01-25', 'reuters', 6]
['2020-01-25', 'international', 5]
['2020-01-25', 'countries', 4]
['2020-01-25', 'severe', 3]
['2020-01-26', 'coronavirus', 81]
['2020-01-26', 'china', 39]
['2020-01-26', 'first', 25]
['2020-01-26', 'hospital', 23]
['2020-01-26', 'ministry', 5]
['2020-01-26', 'travel', 15]
['2020-01-26', 'chinese', 24]
['2020-01-26', 'epidemic', 4]
['2020-01-26', 'government', 7]
['2020-01-26', 'authorities', 11]
['2020-01-26', 'outbreak', 34]
['2020-01-26', 'virus', 36]
['2020-01-26', 'infected', 20]
['2020-01-26', 'health', 65]
['2020-01-26', 'spread', 15]
['2020-01-26', 'three', 12]
['2020-01-26', 'number', 5]
['2020-01-26', 'cases', 30]
['2020-01-26', 'people', 37]
['2020-01-26', 'confirmed', 29]
['2020-01-26', 'wuhan', 51]
['2020-01-26', 'symptoms', 13]
['2020-01-26', 'severe', 2]
['2020-01-26', 'death', 6]
['2020-01-26', 'according', 6]
['2020-01-26', 'disease', 19]
['2020-01-26', 'control', 11]
['2020-01-26', 'person', 10]
['2020-01-26', 'officials', 24]
['2020-01-26', 'world', 26]
['2020-01-26', 'minister', 3]
['2020-01-26', 'where', 11]
['2020-01-26', 'novel', 11]
['2020-01-26', 'including', 5]
['2020-01-26', 'united', 6]
['2020-01-26', 'states', 6]
['2020-01-26', 'tested', 15]
['2020-01-26', 'deadly', 12]
['2020-01-26', 'patients', 7]
['2020-01-26', 'being', 12]
['2020-01-26', 'country', 5]
['2020-01-26', 'reported', 9]
['2020-01-26', 'positive', 8]
['2020-01-26', 'state', 10]
['2020-01-26', 'measures', 6]
['2020-01-26', 'medical', 5]
['2020-01-26', 'public', 13]
['2020-01-26', 'deaths', 2]
['2020-01-26', 'central', 4]
['2020-01-26', 'international', 8]
['2020-01-26', 'reuters', 3]
['2020-01-26', 'global', 7]
['2020-01-27', 'coronavirus', 7]
['2020-01-27', 'wuhan', 4]
['2020-01-27', 'china', 5]
['2020-01-27', 'spread', 5]
['2020-01-27', 'confirmed', 2]
['2020-01-27', 'cases', 3]
['2020-01-27', 'health', 5]
['2020-01-27', 'control', 3]
['2020-01-27', 'infected', 4]
['2020-01-27', 'people', 7]
['2020-01-27', 'outbreak', 4]
